date,open,high,low,close,volume,outstanding_share,turnover
2016-03-29,2956.7,2962.2,2905.25,2919.83,18296534500.0,11804054579.0,1.5500211709077019
2016-03-30,2941.22,3001.11,2941.22,3000.64,21037145100.0,11804054579.0,1.7821965290999355
2016-03-31,3009.37,3023.41,2992.92,3003.92,22041344500.0,11804054579.0,1.8672689415730632
2016-04-01,2997.09,3009.67,2956.25,3009.53,20654586600.0,11804054579.0,1.749787453265892
2016-04-05,3000.94,3057.33,2993.15,3053.06,25673034400.0,11804054579.0,2.1749335559387877
2016-04-06,3039.74,3059.79,3029.0,3050.59,23226205100.0,11804054579.0,1.967646366302014
2016-04-07,3058.34,3062.36,3007.06,3008.42,22091950600.0,11804054579.0,1.8715561210046148
2016-04-08,2988.2,2996.17,2960.46,2984.96,18790463300.0,11804054579.0,1.5918651658413345
2016-04-11,3006.91,3048.98,3006.91,3033.96,22001832400.0,11804054579.0,1.8639216086938766
2016-04-12,3031.3,3036.82,3001.32,3023.65,18271866800.0,11804054579.0,1.547931405917638
2016-04-13,3041.36,3097.16,3041.36,3066.64,31000324600.0,11804054579.0,2.6262437531550487
2016-04-14,3080.09,3086.7,3056.99,3082.36,20823783000.0,11804054579.0,1.7641212060342846
2016-04-15,3085.03,3089.95,3066.87,3078.12,18961305100.0,11804054579.0,1.6063383113911642
2016-04-18,3058.46,3058.46,3022.97,3033.66,18330451200.0,11804054579.0,1.5528944802246836
2016-04-19,3047.13,3054.5,3024.9,3042.82,15653320000.0,11804054579.0,1.326096884357688
2016-04-20,3050.38,3055.69,2905.05,2972.58,28314421900.0,11804054579.0,2.3987030651631147
2016-04-21,2954.37,2990.67,2943.46,2952.89,18940684900.0,11804054579.0,1.6045914370555707
2016-04-22,2933.04,2960.21,2926.78,2959.24,13721166800.0,11804054579.0,1.1624113314767823
2016-04-25,2949.97,2954.09,2917.02,2946.67,12585624300.0,11804054579.0,1.0662119711298566
2016-04-26,2944.72,2965.43,2933.97,2964.7,11771160400.0,11804054579.0,0.9972133152401277
2016-04-27,2967.19,2976.02,2949.43,2953.67,13086764000.0,11804054579.0,1.1086668493791958
2016-04-28,2955.74,2959.51,2916.37,2945.59,13866327400.0,11804054579.0,1.1747088517083686
2016-04-29,2935.38,2950.58,2930.36,2938.32,10931062800.0,11804054579.0,0.9260430580731899
2016-05-03,2940.39,2993.54,2929.82,2992.64,16870364300.0,11804054579.0,1.4292008044433493
2016-05-04,2983.03,3004.42,2978.33,2991.27,16540710600.0,11804054579.0,1.4012736462119335
2016-05-05,2987.02,2999.12,2977.2,2997.84,14483138300.0,11804054579.0,1.2269630069117288
2016-05-06,2998.4,3003.59,2913.04,2913.25,20679649800.0,11804054579.0,1.7519107236923595
2016-05-09,2896.16,2896.16,2821.83,2832.11,18037833000.0,11804054579.0,1.5281048456087454
2016-05-10,2822.33,2845.24,2820.16,2832.59,12082931000.0,11804054579.0,1.0236254770878588
2016-05-11,2843.54,2857.25,2818.7,2837.04,13579546600.0,11804054579.0,1.1504137420847484
2016-05-12,2812.11,2839.28,2781.24,2835.86,13633765500.0,11804054579.0,1.1550069858415555
